L4_SRC_PORT,IN_BYTES,OUT_BYTES,FLOW_DURATION_MILLISECONDS,PROTOCOL,TCP_FLAGS,DURATION_IN,DURATION_OUT,MIN_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,CLIENT_TCP_FLAGS,IAT_mean,Label
43955,995,389,17.257213592529297,17,0,12.535333633422852,14.131784439086914,75,794,142,0,0.005752404530843099,0
43956,1411,860,15164.42322731018,17,0,13317.496061325073,12316.185235977173,70,487,101,0,1.6849359141455755,1
43957,2552,1137,50.64034461975098,17,0,46.87905311584473,46.509504318237305,81,637,116,0,0.005626704957750108,0
43958,283,111,3754.4775009155273,17,0,3754.4775009155273,3754.4775009155273,86,283,111,0,3.7544775009155273,1
43959,3169,1169,101.28283500671387,17,0,97.95498847961426,94.01249885559082,69,867,95,0,0.009207530455155806,0
43960,3442,1478,107.99527168273926,17,0,105.45492172241211,101.17316246032715,69,876,130,0,0.009817751971158114,0
43961,766,717,34.51681137084961,17,0,26.525259017944336,26.897430419921875,64,354,103,0,0.006903362274169922,0
43962,2751,1091,61.35296821594238,17,0,55.983543395996094,57.115793228149414,65,937,85,0,0.006816996468438042,0
43963,396,420,39.98136520385742,17,0,33.82682800292969,32.53579139709473,76,290,106,0,0.01332712173461914,0
43964,1053,511,34.09886360168457,17,0,26.21316909790039,26.34739875793457,89,741,201,0,0.01136628786722819,0
43965,418,147,4869.453191757202,17,0,4869.453191757202,4869.453191757202,75,418,147,0,4.869453191757202,1
43966,1995,696,65.46306610107422,17,0,63.04454803466797,57.58786201477051,68,827,156,0,0.009351866585867745,0
43967,235,83,3850.837469100952,17,0,3850.837469100952,3850.837469100952,100,235,83,0,3.850837469100952,1
43968,201,161,4559.68713760376,17,0,4559.68713760376,4559.68713760376,66,201,161,0,4.55968713760376,1
43969,209,109,3393.9638137817383,17,0,3393.9638137817383,3393.9638137817383,74,209,109,0,3.3939638137817383,1
43970,841,841,8546.623706817627,17,0,6897.091627120972,7261.1963748931885,70,332,93,0,1.2209462438310896,1
43971,3611,1177,135.10727882385254,17,0,128.5083293914795,128.48997116088867,77,918,84,0,0.012282479893077503,0
43972,1443,951,11791.15915298462,17,0,11452.059507369995,9104.188680648804,64,448,95,0,1.3101287947760687,1
43973,1008,420,6243.149995803833,17,0,3441.987991333008,5137.901544570923,65,426,89,0,1.2486299991607666,1
43974,955,372,5189.616680145264,17,0,3752.963066101074,3532.2792530059814,65,470,69,0,1.0379233360290527,1
43975,2974,1417,85.60061454772949,17,0,80.56759834289551,79.53596115112305,67,765,96,0,0.0077818740497935905,0
43976,652,489,12.271881103515625,17,0,8.87751579284668,7.707357406616211,79,429,196,0,0.004090627034505208,0
43977,1621,790,9124.6497631073,17,0,8074.307918548584,7811.456680297852,85,514,164,0,1.3035213947296143,1
43978,1948,772,59.04221534729004,17,0,54.39281463623047,57.015419006347656,72,732,117,0,0.008434602192470006,0
43979,173,61,3417.6247119903564,17,0,3417.6247119903564,3417.6247119903564,71,173,61,0,3.4176247119903564,1
43980,1898,414,37.3072624206543,17,0,31.47435188293457,32.80162811279297,73,792,62,0,0.007461452484130859,0
43981,1700,802,47.47819900512695,17,0,40.552377700805664,40.68112373352051,89,831,237,0,0.00949563980102539,0
